rec_id,item_id,stud_id,result,irt
3408,1.3.4,34,1,359
4651,1.3.4,732,0,511
4942,1.3.4,540,1,398
4961,1.3.4,258,1,374
5251,1.3.4,369,0,491
5470,1.3.4,788,1,79
5972,1.3.4,397,1,141
566,1.3.5,413,1,3164
769,1.3.5,541,1,715
1271,1.3.5,782,0,401
1595,1.3.5,239,0,738
1598,1.3.5,239,0,896
1621,1.3.5,239,0,743
1641,1.3.5,239,0,1394
1902,1.3.5,378,1,1609
3398,1.3.5,34,0,158
3403,1.3.5,34,1,137
4319,1.3.5,543,1,106
4662,1.3.5,732,1,570
4940,1.3.5,540,1,143
4956,1.3.5,258,0,137
5260,1.3.5,369,1,828
5472,1.3.5,788,1,190
5985,1.3.5,397,1,386
1388,10.1.1,202,1,2390
1999,10.1.1,95,1,454
2416,10.1.1,206,1,24
3301,10.1.1,190,1,1724
3359,10.1.1,797,1,1179
4730,10.1.1,276,1,109
5070,10.1.1,76,1,996
5109,10.1.1,97,1,534
6540,10.1.1,119,1,582
6843,10.1.1,506,1,3038
7065,10.1.1,165,1,46
6703,10.1.10,95,1,1677
6730,10.1.10,97,1,2671
6709,10.1.11,95,1,1959
6734,10.1.11,97,1,2893
6723,10.1.12,95,1,2691
6741,10.1.12,97,1,3234
6725,10.1.13,95,1,2740
6755,10.1.13,97,1,4199
6737,10.1.14,95,0,3338
6767,10.1.14,97,0,4920
531,10.1.2,253,0,447
1394,10.1.2,202,1,2525
2428,10.1.2,206,1,320
2987,10.1.2,95,1,220
3310,10.1.2,190,1,2083
5075,10.1.2,76,1,1290
6541,10.1.2,119,1,765
6715,10.1.2,97,1,1739
7113,10.1.2,165,0,1696
1396,10.1.3,202,1,2638
2991,10.1.3,95,1,340
3313,10.1.3,190,1,2175
5094,10.1.3,76,1,2736
6542,10.1.3,119,1,985
6711,10.1.3,97,1,1659
1398,10.1.4,202,1,2743
2998,10.1.4,95,0,536
3317,10.1.4,190,0,2224
6544,10.1.4,119,1,1069
6708,10.1.4,97,1,1520
1402,10.1.5,202,0,2946
3323,10.1.5,190,0,2554
6668,10.1.5,95,1,928
6700,10.1.5,97,0,1175
1406,10.1.6,202,0,3119
3326,10.1.6,190,0,2842
6661,10.1.6,95,1,762
6720,10.1.6,97,0,2219
1409,10.1.7,202,1,3224
4664,10.1.7,95,1,149
6688,10.1.7,97,1,987
6681,10.1.8,95,1,1212
6687,10.1.8,97,1,966
4672,10.1.9,95,1,330
6689,10.1.9,97,1,1010
1514,10.2.1,202,1,150
2498,10.2.1,208,0,41
2512,10.2.1,208,0,443
2514,10.2.1,208,0,495
3446,10.2.1,493,1,395
3447,10.2.1,493,0,419
3602,10.2.1,467,1,439
5582,10.2.1,162,1,128
5790,10.2.1,44,1,531
6742,10.2.1,95,1,285
6777,10.2.1,97,1,27
6781,10.2.1,506,0,677
6925,10.2.1,506,0,311
6928,10.2.1,506,1,406
3784,10.2.10,467,0,198
3785,10.2.10,493,0,188
3797,10.2.10,467,1,415
3799,10.2.10,493,1,414
6778,10.2.10,95,0,6
6846,10.2.10,95,1,307
1516,10.2.2,202,1,135
2551,10.2.2,208,1,187
3450,10.2.2,493,1,512
3612,10.2.2,467,1,404
5652,10.2.2,162,1,161
5792,10.2.2,44,1,266
6747,10.2.2,95,1,126
6798,10.2.2,97,1,836
6935,10.2.2,506,1,347
1537,10.2.3,202,0,1899
1538,10.2.3,202,0,2016
2517,10.2.3,208,0,84
2519,10.2.3,208,1,100
3604,10.2.3,493,1,764
3617,10.2.3,467,1,310
5812,10.2.3,44,1,60
6807,10.2.3,97,1,348
6852,10.2.3,95,1,134
1566,10.2.4,202,1,47
2521,10.2.4,208,0,41
2524,10.2.4,208,1,51
3626,10.2.4,467,0,214
3660,10.2.4,467,0,909
3679,10.2.4,493,1,1878
3680,10.2.4,467,1,1354
5666,10.2.4,162,0,185
5829,10.2.4,44,0,600
5832,10.2.4,44,1,619
6753,10.2.4,95,1,68
1576,10.2.5,202,0,268
2527,10.2.5,208,0,95
2528,10.2.5,208,0,105
2543,10.2.5,208,1,460
3128,10.2.5,202,0,284
3144,10.2.5,202,1,606
3693,10.2.5,467,1,334
3695,10.2.5,493,1,353
5679,10.2.5,162,0,217
5683,10.2.5,162,0,260
5841,10.2.5,44,1,319
6758,10.2.5,95,0,376
6760,10.2.5,95,0,406
6763,10.2.5,95,1,510
6819,10.2.5,97,1,285
1580,10.2.6,202,0,326
3709,10.2.6,493,1,498
3711,10.2.6,467,1,513
5963,10.2.6,44,1,6
2564,10.2.8,208,0,100
2565,10.2.8,208,0,103
2566,10.2.8,208,0,106
3762,10.2.8,467,1,341
3765,10.2.8,493,1,38
6771,10.2.8,95,1,239
3773,10.2.9,467,1,227
3775,10.2.9,493,1,178
6776,10.2.9,95,1,690
6784,10.3.10,95,1,522
6818,10.3.12,95,1,2076
6824,10.3.14,95,1,2267
6748,10.3.2,255,0,5740
6804,10.3.2,95,1,1470
6834,10.3.6,95,1,2479
3861,10.3.8,493,1,1170
6665,11.1.1,119,0,146
6669,11.1.2,119,1,237
6673,11.1.3,119,1,313
6674,11.1.4,119,1,387
6679,11.1.5,119,0,479
6682,11.2.1,119,0,83
6684,11.2.1,119,1,106
6686,11.2.2,119,1,35
6690,11.2.3,119,1,66
6693,11.2.4,119,0,74
6694,11.2.4,119,0,89
6695,11.2.4,119,0,94
6698,11.2.5,119,0,41
6699,11.2.5,119,1,49
6706,11.3.2,119,1,348
6705,11.3.3,119,1,236
6702,11.3.5,119,1,146
6710,11.3.8,119,1,484
6714,11.3.9,119,1,560
890,16.1.11,276,1,104
884,16.1.14,276,1,161
882,16.1.3,276,1,72
883,16.1.6,276,1,100
885,16.1.7,276,1,206
888,16.2.3,276,1,8
886,16.2.8,276,1,8
887,16.2.9,276,1,7
889,16.3.18,276,1,77
746,2.1.1,541,0,311
1299,2.1.1,782,1,1326
3412,2.1.1,34,1,948
4702,2.1.1,732,1,3057
4910,2.1.1,540,1,815
4980,2.1.1,258,1,1068
5297,2.1.1,369,1,2661
752,2.1.10,541,0,927
1296,2.1.10,782,1,1275
1443,2.1.10,413,1,214
1655,2.1.10,239,0,2015
1662,2.1.10,239,0,2164
5148,2.1.10,258,1,3371
5477,2.1.10,788,1,335
4745,2.1.11,784,1,272
5304,2.1.11,369,1,2813
5356,2.1.11,352,1,734
5479,2.1.11,788,1,360
5811,2.1.11,397,1,589
6166,2.1.11,529,1,923
747,2.1.12,541,1,495
3411,2.1.12,34,1,922
4706,2.1.12,732,0,2850
4905,2.1.12,540,1,347
750,2.1.13,541,0,623
1446,2.1.13,413,0,345
4700,2.1.13,732,0,2227
4970,2.1.13,258,0,632
6146,2.1.13,529,1,428
3409,2.1.14,34,0,763
4906,2.1.14,540,0,508
5287,2.1.14,369,1,2445
3413,2.1.15,34,0,1023
1297,2.1.2,782,1,1291
4744,2.1.2,784,1,203
5299,2.1.2,369,1,2715
5475,2.1.2,788,1,305
6171,2.1.2,529,1,1049
6237,2.1.2,543,1,171
1657,2.1.3,239,1,2066
1663,2.1.3,239,1,2208
4911,2.1.3,540,1,914
1294,2.1.4,782,1,1222
1448,2.1.4,413,1,449
5801,2.1.4,397,1,108
1298,2.1.5,782,1,1306
1645,2.1.5,239,0,1483
1659,2.1.5,239,1,2097
3410,2.1.5,34,1,869
4747,2.1.5,784,1,594
5057,2.1.5,258,1,3031
5359,2.1.5,352,1,871
6173,2.1.5,529,0,1097
1653,2.1.6,239,0,2007
1661,2.1.6,239,0,2155
2457,2.1.6,441,1,542
5478,2.1.6,788,1,350
6187,2.1.6,529,1,684
1451,2.1.7,413,1,642
2459,2.1.7,441,0,674
4682,2.1.7,732,0,1193
4746,2.1.7,784,0,313
5294,2.1.7,369,1,2623
5808,2.1.7,397,1,477
1652,2.1.8,239,0,1981
1660,2.1.8,239,0,2127
4698,2.1.8,732,1,2158
4968,2.1.8,258,1,578
5804,2.1.8,397,1,235
745,2.1.9,541,1,225
1453,2.1.9,413,1,778
4908,2.1.9,540,0,693
5476,2.1.9,788,1,320
5807,2.1.9,397,1,318
237,2.2.1,703,1,53
643,2.2.1,541,1,181
1085,2.2.1,696,1,109
1300,2.2.1,782,1,17
1350,2.2.1,413,1,111
1466,2.2.1,351,1,29
1664,2.2.1,239,1,34
1757,2.2.1,243,1,134
3414,2.2.1,34,1,31
4334,2.2.1,416,1,82
4705,2.2.1,732,1,357
4918,2.2.1,540,1,68
4920,2.2.1,540,0,68
4983,2.2.1,258,1,57
5309,2.2.1,369,1,62
5362,2.2.1,352,1,169
5481,2.2.1,788,0,11
5482,2.2.1,788,1,13
5813,2.2.1,397,1,63
6195,2.2.1,529,1,69
265,2.2.10,703,1,399
765,2.2.10,541,1,76
1109,2.2.10,696,1,91
1364,2.2.10,413,1,102
1721,2.2.10,239,0,4
1722,2.2.10,239,1,9
4405,2.2.10,416,1,50
4937,2.2.10,540,1,69
5124,2.2.10,258,1,17
5382,2.2.10,369,1,88
5828,2.2.10,397,1,59
6228,2.2.10,529,1,43
240,2.2.2,703,0,87
644,2.2.2,541,1,105
655,2.2.2,703,1,520
1114,2.2.2,696,0,76
1115,2.2.2,696,0,79
1116,2.2.2,696,0,84
1301,2.2.2,782,0,18
1303,2.2.2,782,1,35
1358,2.2.2,413,1,248
1468,2.2.2,351,1,18
1665,2.2.2,239,0,12
1666,2.2.2,239,0,14
1679,2.2.2,239,0,534
1759,2.2.2,243,1,108
3415,2.2.2,34,1,46
4707,2.2.2,732,1,250
4921,2.2.2,540,1,78
4984,2.2.2,258,1,36
5314,2.2.2,369,1,126
5483,2.2.2,788,1,15
5815,2.2.2,397,1,64
6197,2.2.2,529,1,108
